Numero,Comparações
1791,20
1234,13
5264,9
932,18
4551,15
6399,11
7461,11
514,21
6901,21
6514,13
929,16
9545,20
2319,14
515,22
3723,15
4113,27
4162,22
5261,12
5597,19
7818,25
7453,12
2447,16
5654,18
1405,17
9843,8
3353,20
990,16
1923,18
6716,10
4144,27
3714,20
5761,19
4647,8
8853,17
8512,19
8460,11
9368,15
5414,19
4974,10
297,14
1311,19
3646,20
7164,21
1387,16
7759,23
1327,16
6471,9
3021,17
3276,17
4289,22
474,16
5724,19
6296,21
8231,13
1919,16
6001,15
9222,12
3842,22
2717,23
9718,11
7556,16
7019,22
5479,18
8555,14
3992,13
3368,18
1593,16
5758,20
8342,16
8242,20
3421,7
1988,19
5406,18
4808,11
6100,17
3085,17
1280,17
9121,18
6362,13
1921,19
5947,14
8438,9
8217,13
6709,18
4219,19
9753,17
551,20
3288,17
4459,23
308,13
7655,18
9367,14
2533,19
2735,18
4126,22
3757,20
1077,15
8720,17
3530,20
9418,9
4126,22
8339,19
5518,19
5971,16
991,15
9926,10
7892,15
6938,19
4716,9
2462,29
7469,20
1425,18
6681,14
3574,18
1976,23
6321,13
5750,17
2787,19
6629,11
3405,14
2154,20
5514,21
1404,18
4889,11
5992,14
1513,22
2319,14
4712,12
1395,16
8089,19
8839,18
9734,13
9959,11
2403,17
5705,18
950,18
2329,10
9950,8
4240,27
7045,17
2412,18
8062,17
4822,15
5445,21
7988,20
3150,19
1766,18
3738,18
5937,18
4748,18
3495,20
4444,22
6614,10
1251,12
5685,16
2607,13
9116,12
8004,24
3671,16
512,19
2445,13
8862,20
246,18
2404,16
1265,18
2304,12
9706,13
9946,11
8606,16
3947,17
3343,16
7370,12
8361,15
8165,18
9167,22
6349,19
1315,21
7285,18
6440,12
3605,17
8385,16
8049,12
5000,1
1187,8
3734,14
3959,25
303,15
8091,19
7630,15
7167,19
6888,22
6493,13
3766,20
9293,15
4110,23
6070,16
4057,18
1028,12
7400,16
8398,19
5566,13
3917,19
361,15
3233,21
1202,16
3153,24
6838,18
9588,22
3088,20
1239,13
4588,15
627,13
1326,15
4899,11
7283,17
5769,15
8881,11
4450,19
2657,16
5374,12
8216,11
5837,18
638,11
3654,18
9894,9
8018,17
9304,22
7294,13
2768,16
9668,11
9212,16
6685,20
6381,14
8798,16
7888,19
9534,19
1988,19
3828,19
8974,14
3228,19
4768,18
5954,20
906,20
9667,9
3237,22
6675,18
8548,16
4039,18
5684,17
275,13
8608,14
3987,19
6112,17
5598,17
3993,10
6006,17
9969,13
9649,11
2737,22
9317,16
5217,14
5775,12
5698,19
4015,17
15,8
1584,17
6003,13
3843,21
559,13
5583,18
8611,18
6513,10
6489,12
4630,10
6102,15
9516,21
3178,17
141,11
5201,10
9805,18
5540,20
5917,18
7052,19
5885,15
8275,18
7021,19
5534,20
4280,23
6110,18
1204,17
9497,21
1885,14
3254,21
3512,19
1900,18
4839,11
5867,15
2095,12
1750,17
1451,12
706,13
8263,23
4292,13
1688,7
4365,13
161,15
1219,12
858,20
5362,15
1024,13
2312,11
7254,20
3294,17
9364,15
3139,16
1569,10
2737,22
5025,16
5849,17
8847,20
6229,18
5346,16
733,15
9484,23
5210,10
8985,9
4323,18
1078,16
1081,15
6073,15
8881,11
8139,13
688,17
9828,10
1405,17
9686,12
1047,11
8615,16
1400,17
2071,17
927,15
8654,20
5365,15
6643,18
8145,12
3287,18
9380,16
3171,23
5488,18
8228,16
9400,23
835,12
5313,17
5236,9
4298,17
5911,17
9827,13
5379,14
1984,17
8708,16
3519,19
9024,20
8234,13
3347,15
429,15
4272,24
746,13
5397,19
5673,17
9169,20
2676,17
679,18
9320,14
8825,20
4174,24
5052,11
1996,19
6014,18
9632,14
7748,25
3201,25
1297,20
2985,15
5599,16
5596,20
8896,13
5426,15
7327,19
7233,21
487,14
846,18
6257,8
545,18
3039,18
9345,17
7643,18
4788,11
5018,16
6813,19
7464,10
5698,19
7700,21
3136,12
4523,18
8189,14
2871,21
4240,27
4173,22
619,13
7442,12
5471,18
3604,20
9393,22
1067,16
8853,17
4819,18
8394,21
6086,18
1658,10
5593,16
8695,14
6731,9
2490,22
1734,22
6077,17
134,10
6522,14
1095,14
6947,16
339,13
3145,17
999,18
3475,25
4020,12
5577,18
8016,19
6891,22
9817,14
2190,13
3863,19
3611,18
4013,17
7467,19
3004,18
1432,18
6320,11
4176,21
9826,12
8758,18
5834,19
1771,20
7454,13
2566,17
4262,17
5540,20
8643,19
4396,20
2063,17
7695,23
8754,19
5588,19
5046,12
2229,12
9608,20
623,13
246,18
6500,9
6792,15
8788,15
363,17
404,12
2801,20
9760,14
4233,18
6855,18
288,16
411,12
5613,17
6123,11
2183,17
9419,13
5041,13
2797,17
4960,12
3684,18
3545,22
7023,19
6126,14
7592,18
2129,18
1714,16
2638,15
4358,15
1323,17
3261,17
956,19
4175,23
6405,12
9744,11
890,20
3161,22
2545,17
1424,20
2922,11
3130,17
4631,9
3210,19
3542,22
245,14
5685,16
2077,18
9664,13
726,10
1226,11
4624,7
762,11
4771,14
6889,21
2363,16
128,11
1353,18
839,15
2630,13
966,15
1795,17
3157,20
7371,15
7892,15
399,16
533,14
6789,17
1824,18
9807,16
9920,9
6455,15
3017,14
9814,12
3052,12
5055,7
1891,20
9069,20
5781,16
3117,22
45,10
6544,17
4240,27
4397,19
9785,14
2955,13
877,15
1092,18
4308,16
1716,14
75,15
1626,13
3232,20
8997,7
7756,24
3632,18
5882,18
4545,8
1808,16
5689,17
817,16
8263,23
5059,11
631,14
7668,23
114,13
2522,16
5895,21
3134,13
8791,13
2583,9
7531,19
4928,11
5538,21
4761,14
2373,12
6198,16
6477,7
2448,19
7824,19
2693,13
5680,18
449,18
5664,21
9056,19
1347,4
7472,15
4746,16
2164,14
6157,15
2796,18
9756,15
6271,13
8518,16
14,6
5979,17
3662,16
2597,13
9863,11
4942,12
4488,12
4624,7
7315,14
7038,19
1101,11
9763,12
1215,10
147,10
1796,21
4389,17
6948,21
7460,16
9797,16
8295,17
4933,11
895,24
6812,16
7021,19
7052,19
9608,20
3129,20
3323,22
7630,15
5974,13
8194,13
3996,13
1953,20
1856,19
6594,13
1816,20
3150,19
7434,15
2792,18
466,12
4472,11
246,18
6581,13
5687,18
393,15
4729,7
6428,11
7341,19
2190,13
6226,18
1989,17
3475,25
7121,21
8801,17
6848,21
526,14
4761,14
9977,14
201,12
2391,16
5951,16
8395,18
6388,12
4256,21
6603,9
9334,19
2425,10
9754,18
3120,13
5217,14
6572,9
7592,18
1815,21
9505,21
9632,14
2208,15
4235,21
2412,18
9550,21
6425,12
8638,22
7891,17
6252,15
2112,19
6692,19
3100,18
2638,15
1453,18
9429,20
2839,19
196,17
1732,18
7587,19
6584,10
5988,19
542,14
2270,19
4765,15
296,16
5390,15
6335,15
9335,20
8150,9
2726,25
8967,11
359,15
6961,14
1379,18
6261,15
9738,12
6370,15
4152,25
2342,14
4834,12
7196,18
5442,21
3824,19
8649,17
4871,13
6663,15
8845,20
6603,9
602,10
1782,21
8943,18
1145,17
404,12
61,12
7793,25
5795,18
6396,10
7366,18
5130,18
4546,13
92,16
449,18
1257,17
3405,14
8180,19
3870,20
9495,21
4550,12
4374,16
1837,18
5736,15
1570,16
3631,16
9560,17
6571,7
4854,13
2576,11
1769,14
7809,20
3178,17
3551,18
6752,16
675,11
3955,22
3165,17
6102,15
9561,19
5835,17
7584,23
460,16
2279,8
8069,19
2036,13
6214,13
8292,20
7883,17
7116,19
2666,20
6072,14
9205,15
589,17
9703,12
8765,19
3512,19
909,17
1341,15
5281,12
8718,17
872,16
5184,11
1822,18
1547,18
9140,20
4988,10
6368,16
1594,15
4549,15
8555,14
1361,19
834,14
9222,12
7723,22
7105,15
3247,15
6741,15
9529,18
8804,14
7330,22
9232,18
7569,15
843,11
141,11
5263,11
2476,29
8859,15
6135,20
7661,23
7682,20
3153,24
4051,16
4747,17
6571,7
8958,20
3926,17
4285,22
9793,9
7491,23
3716,17
5367,13
3621,22
7791,21
8825,20
4532,11
8354,14
2024,17
8215,13
3939,17
5946,19
5410,17
4080,16
1209,14
7886,8
9292,17
7344,15
2678,19
1378,16
8700,17
4700,9
1781,20
9800,19
7623,18
740,14
3726,14
1908,20
6885,21
7569,15
5624,23
2252,20
7543,17
9767,14
7429,18
7115,20
4300,19
5784,15
5492,17
2515,11
9723,11
1438,12
155,15
8999,15
2163,16
5799,18
6343,21
7711,21
8477,19
2763,18
3177,16
5855,12
2563,17
7153,20
2947,16
2642,16
9061,18
9832,13
211,13
1038,16
8436,13
4106,26
805,18
5866,14
7574,19
5105,12
8002,27
3066,16
3972,21
4077,16
856,15
8249,17
584,14
9855,13
6765,12
6384,12
2550,18
4476,18
1213,11
2975,16
7239,17
743,12
8830,19
6155,17
7896,14
8129,10
8797,15
6957,17
5360,16
7995,19
2750,17
9467,18
8801,17
4968,14
3393,18
258,13
9322,15
6459,11
583,12
3399,13
3667,16
5184,11
3983,19
3522,19
1949,24
6719,13
2424,15
2777,12
7933,17
5399,15
6369,14
8676,16
582,15
2524,17
2924,16
8711,14
1321,19
9881,15
9377,10
6681,14
4229,19
2127,19
2500,22
9382,16
3447,15
5893,22
5992,14
2769,17
8704,18
6575,12
2520,15
2371,13
1760,20
6503,14
2245,15
61,12
9575,17
1021,10
2839,19
7508,21
9208,13
2536,20
7003,22
1732,18
1812,17
2066,22
3053,14
1693,22
1443,14
6086,18
2274,19
9922,5
8587,11
1656,16
9721,11
832,16
4001,16
8842,17
9537,13
576,16
1362,20
8260,20
8688,15
4218,20
506,18
8750,18
3793,21
7879,15
7941,16
7653,17
4300,19
7149,18
6541,14
7655,18
5233,14
8353,15
6074,13
4638,9
6398,7
3869,17
724,14
5025,16
144,11
